CaratSize,Clarity,Price
0.5,1 SI,1336
0.5,3 VVS,1366
0.6,2 VS,1367
0.38,4 F,1367
0.5,3 VVS,1367
0.41,3 VVS,1367
0.53,2 VS,1367
0.42,4 F,1367
0.42,4 F,1367
0.43,3 VVS,1368
0.61,1 SI,1368
0.4,2 VS,1368
0.5,2 VS,1368
0.6,1 SI,1368
0.6,1 SI,1368
0.6,1 SI,1368
0.6,1 SI,1368
0.6,1 SI,1368
0.6,1 SI,1368
0.45,2 VS,1368
0.51,2 VS,1368
0.5,1 SI,1368
0.5,2 VS,1368
0.51,2 VS,1369
0.4,3 VVS,1369
0.44,4 F,1369
0.47,3 VVS,1400
0.54,2 VS,1400
0.7,1 SI,1400
0.7,2 VS,1400
0.54,2 VS,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.7,1 SI,1400
0.42,3 VVS,1400
0.42,3 VVS,1400
0.7,1 SI,1401
0.6,2 VS,1401
0.42,3 VVS,1401
0.38,4 F,1401
0.4,3 VVS,1401
0.42,3 VVS,1402
0.53,2 VS,1402
0.73,2 VS,1434
0.41,4 F,1434
0.48,2 VS,1434
0.43,2 VS,1434
0.43,3 VVS,1434
0.5,3 VVS,1434
0.5,2 VS,1434
0.5,2 VS,1434
0.41,3 VVS,1435
0.43,3 VVS,1435
0.58,1 SI,1435
0.58,1 SI,1435
0.58,1 SI,1435
0.64,1 SI,1435
0.5,2 VS,1436
0.73,1 SI,1436
0.73,1 SI,1436
0.7,2 VS,1436
0.45,4 F,1436
0.51,1 SI,1436
0.7,2 VS,1436
0.72,1 SI,1436
0.5,2 VS,1436
0.72,1 SI,1436
0.72,1 SI,1436
0.58,2 VS,1471
0.43,3 VVS,1471
0.72,1 SI,1471
0.5,2 VS,1472
0.5,2 VS,1472
0.5,2 VS,1472
0.52,1 SI,1472
0.5,2 VS,1472
0.5,2 VS,1472
0.5,2 VS,1472
0.41,4 F,1472
0.41,4 F,1472
0.41,4 F,1472
0.4,3 VVS,1473
0.43,4 F,1473
0.44,3 VVS,1473
0.72,1 SI,1473
0.71,2 VS,1473
0.51,2 VS,1473
0.73,1 SI,1473
0.74,2 VS,1473
0.52,2 VS,1474
0.42,3 VVS,1475
0.42,4 F,1475
0.42,3 VVS,1475
0.6,1 SI,1507
0.75,2 VS,1507
0.42,4 F,1507
0.5,2 VS,1508
0.5,2 VS,1508
0.5,2 VS,1508
0.5,2 VS,1508
0.56,2 VS,1508
0.5,3 VVS,1508
0.5,2 VS,1508
0.52,2 VS,1508
0.5,2 VS,1508
0.5,2 VS,1508
0.54,2 VS,1508
0.7,1 SI,1508
0.63,1 SI,1508
0.7,1 SI,1508
0.54,2 VS,1508
0.45,4 F,1508
0.54,2 VS,1508
0.54,2 VS,1508
0.45,4 F,1508
0.7,1 SI,1508
0.54,2 VS,1508
0.7,1 SI,1508
0.5,2 VS,1553
0.42,3 VVS,1553
0.42,3 VVS,1553
0.5,2 VS,1553
0.75,2 VS,1553
0.43,3 VVS,1554
0.51,2 VS,1554
0.7,1 SI,1554
0.7,1 SI,1554
0.7,1 SI,1554
0.71,1 SI,1555
0.71,1 SI,1555
0.73,1 SI,1555
0.65,2 VS,1555
0.55,1 SI,1555
0.4,3 VVS,1556
0.4,3 VVS,1556
0.5,2 VS,1556
0.5,2 VS,1556
0.5,2 VS,1556
0.6,1 SI,1556
0.65,1 SI,1556
0.52,2 VS,1556
0.5,2 VS,1556
0.52,2 VS,1556
0.59,1 SI,1591
0.59,2 VS,1591
0.55,2 VS,1591
0.62,1 SI,1591
0.56,2 VS,1592
0.71,1 SI,1592
0.7,2 VS,1592
0.7,2 VS,1592
0.57,2 VS,1592
0.57,2 VS,1592
0.57,2 VS,1592
0.57,2 VS,1592
0.57,2 VS,1592
0.53,2 VS,1592
0.51,3 VVS,1592
0.5,2 VS,1593
0.5,2 VS,1593
0.7,1 SI,1594
0.5,2 VS,1594
0.48,4 F,1594
0.7,1 SI,1594
0.7,1 SI,1594
0.7,1 SI,1594
0.7,1 SI,1594
0.7,1 SI,1594
0.62,1 SI,1626
0.54,2 VS,1626
0.7,1 SI,1627
0.72,1 SI,1627
0.8,1 SI,1627
0.5,2 VS,1627
0.5,2 VS,1627
0.5,2 VS,1628
0.51,2 VS,1628
0.51,2 VS,1628
0.5,2 VS,1628
0.47,3 VVS,1628
0.71,2 VS,1629
0.52,4 F,1629
0.52,3 VVS,1629
0.52,3 VVS,1629
0.52,3 VVS,1629
0.62,2 VS,1629
0.62,1 SI,1629
0.56,2 VS,1629
0.64,1 SI,1630
0.7,2 VS,1630
0.63,1 SI,1630
0.7,1 SI,1630
0.5,3 VVS,1630
0.57,2 VS,1668
0.38,4 F,1668
0.46,3 VVS,1668
0.72,1 SI,1670
0.72,1 SI,1670
0.61,1 SI,1670
0.78,1 SI,1670
0.56,2 VS,1670
0.55,3 VVS,1670
0.5,2 VS,1671
0.5,2 VS,1671
0.7,1 SI,1671
0.66,1 SI,1671
0.7,1 SI,1671
0.7,1 SI,1671
0.72,2 VS,1672
0.7,1 SI,1672
0.7,1 SI,1672
0.7,1 SI,1672
0.7,1 SI,1672
0.62,1 SI,1672
0.56,2 VS,1673
0.41,4 F,1673
0.52,2 VS,1673
0.7,1 SI,1674
0.56,3 VVS,1709
0.61,2 VS,1709
0.57,2 VS,1710
0.7,1 SI,1710
0.78,1 SI,1710
0.52,2 VS,1710
0.59,1 SI,1710
0.56,2 VS,1711
0.56,2 VS,1711
0.56,2 VS,1711
0.51,2 VS,1711
0.5,2 VS,1712
0.49,3 VVS,1712
0.76,1 SI,1712
0.71,3 VVS,1712
0.58,2 VS,1713
0.62,1 SI,1713
0.56,2 VS,1713
0.5,3 VVS,1715
0.71,2 VS,1715
0.53,3 VVS,1715
0.75,1 SI,1715
0.71,1 SI,1715
0.71,1 SI,1715
0.71,1 SI,1715
0.71,1 SI,1751
0.62,1 SI,1752
0.62,1 SI,1752
0.71,2 VS,1752
0.51,2 VS,1752
0.7,1 SI,1752
0.52,2 VS,1752
0.58,2 VS,1753
0.74,1 SI,1753
0.51,2 VS,1753
0.54,2 VS,1754
0.5,2 VS,1754
0.5,2 VS,1754
0.55,2 VS,1756
0.5,2 VS,1756
0.5,2 VS,1756
0.72,1 SI,1756
0.58,1 SI,1756
0.71,1 SI,1756
0.71,1 SI,1756
0.52,4 F,1757
0.47,3 VVS,1757
0.59,2 VS,1757
0.72,1 SI,1757
0.72,1 SI,1757
0.73,1 SI,1798
0.64,2 VS,1798
0.82,1 SI,1798
0.8,3 VVS,1798
0.5,2 VS,1798
0.7,1 SI,1799
0.5,2 VS,1799
0.5,3 VVS,1799
0.49,3 VVS,1799
0.7,1 SI,1799
0.7,3 VVS,1800
0.6,1 SI,1800
0.52,2 VS,1800
0.75,1 SI,1800
0.71,1 SI,1800
0.7,1 SI,1800
0.7,1 SI,1800
0.71,1 SI,1800
0.78,1 SI,1801
0.72,3 VVS,1801
0.72,1 SI,1801
0.69,2 VS,1801
0.55,3 VVS,1801
0.53,2 VS,1801
0.53,2 VS,1801
0.5,2 VS,1841
0.7,4 F,1841
0.7,1 SI,1841
0.76,1 SI,1842
0.75,3 VVS,1842
0.83,2 VS,1843
0.54,3 VVS,1843
0.71,1 SI,1843
0.8,1 SI,1843
0.7,1 SI,1844
0.7,1 SI,1844
0.7,1 SI,1844
0.7,1 SI,1844
0.5,3 VVS,1844
0.5,3 VVS,1844
0.63,2 VS,1844
0.53,2 VS,1845
0.53,2 VS,1845
0.53,2 VS,1845
0.6,2 VS,1845
0.7,1 SI,1845
0.52,4 F,1845
0.52,4 F,1845
0.51,2 VS,1845
0.5,3 VVS,1845
0.91,1 SI,1881
0.7,1 SI,1881
0.5,3 VVS,1881
0.77,2 VS,1881
0.53,3 VVS,1881
0.53,3 VVS,1881
0.52,2 VS,1881
0.52,2 VS,1881
0.71,1 SI,1881
0.6,2 VS,1881
0.6,2 VS,1881
0.7,1 SI,1882
0.72,1 SI,1882
0.71,4 F,1882
0.75,1 SI,1882
0.7,1 SI,1883
0.7,1 SI,1883
0.7,1 SI,1883
0.7,1 SI,1883
0.7,1 SI,1883
0.53,4 F,2001
0.54,4 F,2001
0.54,4 F,2001
0.58,4 F,2001
0.56,3 VVS,2001
0.72,1 SI,2001
0.51,3 VVS,2001
0.74,1 SI,2002
0.77,4 F,2002
0.76,2 VS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.5,3 VVS,2002
0.53,3 VVS,2002
0.53,3 VVS,2002
0.74,2 VS,2003
0.51,3 VVS,2003
0.71,1 SI,2003
0.52,3 VVS,2004
0.81,1 SI,2004
0.53,3 VVS,2079
0.71,1 SI,2080
0.83,2 VS,2080
0.73,2 VS,2080
0.73,1 SI,2080
0.72,2 VS,2081
0.6,2 VS,2081
0.9,1 SI,2081
0.71,1 SI,2081
0.72,1 SI,2081
0.71,2 VS,2082
0.7,1 SI,2082
0.5,3 VVS,2082
0.52,3 VVS,2082
0.52,3 VVS,2082
0.72,1 SI,2082
0.5,3 VVS,2083
0.71,1 SI,2083
0.9,2 VS,2083
0.54,3 VVS,2083
0.7,1 SI,2083
0.55,3 VVS,2083
0.7,3 VVS,2083
0.62,2 VS,2083
0.62,2 VS,2083
0.6,3 VVS,2117
0.7,3 VVS,2117
0.75,1 SI,2117
0.7,1 SI,2117
0.8,1 SI,2117
0.73,1 SI,2118
0.73,2 VS,2118
0.73,2 VS,2118
0.72,1 SI,2118
0.5,3 VVS,2118
0.71,1 SI,2118
0.71,1 SI,2118
0.71,1 SI,2118
0.71,2 VS,2118
0.71,2 VS,2118
0.71,2 VS,2118
0.71,1 SI,2118
0.53,3 VVS,2119
0.53,3 VVS,2119
0.53,3 VVS,2119
0.53,3 VVS,2119
0.53,3 VVS,2119
0.71,1 SI,2119
0.71,1 SI,2119
0.71,1 SI,2119
0.51,3 VVS,2156
0.5,3 VVS,2156
0.73,2 VS,2156
0.5,3 VVS,2156
0.5,3 VVS,2156
0.5,3 VVS,2156
0.5,3 VVS,2156
0.5,3 VVS,2156
0.55,2 VS,2156
0.5,4 F,2156
0.5,3 VVS,2156
0.7,2 VS,2156
0.6,2 VS,2156
0.52,4 F,2157
0.71,1 SI,2157
0.71,1 SI,2157
0.73,1 SI,2157
0.72,1 SI,2157
0.6,2 VS,2157
0.62,2 VS,2158
0.8,2 VS,2158
0.73,1 SI,2158
0.54,3 VVS,2159
0.54,3 VVS,2159
0.54,3 VVS,2159
0.72,1 SI,2197
0.9,1 SI,2197
0.5,3 VVS,2198
0.58,2 VS,2199
0.58,2 VS,2199
0.51,3 VVS,2199
0.51,3 VVS,2199
0.55,3 VVS,2199
0.51,3 VVS,2199
0.51,3 VVS,2199
0.51,3 VVS,2199
0.5,3 VVS,2199
0.51,4 F,2199
0.6,2 VS,2199
0.53,3 VVS,2199
0.53,4 F,2200
0.81,1 SI,2200
0.7,2 VS,2200
0.73,1 SI,2200
0.6,3 VVS,2200
0.74,2 VS,2200
0.58,3 VVS,2201
0.7,1 SI,2201
0.6,2 VS,2201
0.71,1 SI,2202
0.91,2 VS,2232
0.55,3 VVS,2232
0.71,1 SI,2233
0.71,1 SI,2233
0.7,2 VS,2233
0.77,1 SI,2233
0.7,1 SI,2233
0.73,1 SI,2233
0.7,2 VS,2234
0.7,1 SI,2234
0.71,1 SI,2234
0.71,1 SI,2234
0.7,1 SI,2234
0.7,2 VS,2234
0.52,3 VVS,2234
0.52,3 VVS,2234
0.77,1 SI,2234
0.7,2 VS,2234
0.7,2 VS,2234
0.7,1 SI,2234
0.7,2 VS,2234
0.7,1 SI,2234
0.7,1 SI,2234
0.57,3 VVS,2235
0.75,1 SI,2236
0.54,3 VVS,2272
0.81,2 VS,2272
0.54,3 VVS,2272
0.81,1 SI,2272
0.64,3 VVS,2273
0.7,3 VVS,2273
0.72,1 SI,2273
0.7,1 SI,2273
0.72,1 SI,2273
0.61,2 VS,2273
0.77,2 VS,2274
0.8,1 SI,2274
0.51,3 VVS,2274
0.71,1 SI,2274
0.71,1 SI,2274
0.72,1 SI,2274
0.73,2 VS,2275
0.52,3 VVS,2275
0.83,1 SI,2276
0.71,2 VS,2276
0.81,2 VS,2276
0.7,1 SI,2276
0.78,2 VS,2276
0.9,1 SI,2277
0.72,1 SI,2277
0.81,1 SI,2313
0.71,1 SI,2314
0.71,1 SI,2314
0.51,3 VVS,2314
0.51,4 F,2314
0.55,3 VVS,2314
0.55,3 VVS,2314
0.51,3 VVS,2314
0.55,3 VVS,2314
0.72,1 SI,2314
0.72,1 SI,2314
0.61,3 VVS,2315
0.5,3 VVS,2315
0.94,2 VS,2316
0.94,2 VS,2316
0.73,1 SI,2316
0.73,1 SI,2316
0.73,1 SI,2316
0.5,3 VVS,2317
0.5,3 VVS,2317
0.5,3 VVS,2317
0.72,3 VVS,2317
0.72,1 SI,2317
0.5,3 VVS,2317
0.5,3 VVS,2317
0.72,1 SI,2359
0.72,1 SI,2359
0.77,1 SI,2359
0.77,1 SI,2359
0.7,2 VS,2359
0.61,3 VVS,2359
0.7,2 VS,2359
0.74,1 SI,2359
0.52,3 VVS,2360
0.52,4 F,2360
0.73,2 VS,2361
0.8,1 SI,2361
0.8,1 SI,2361
0.81,2 VS,2361
0.71,2 VS,2362
0.8,2 VS,2362
0.72,1 SI,2362
0.62,2 VS,2362
0.74,2 VS,2362
0.54,3 VVS,2363
0.65,2 VS,2364
0.8,1 SI,2364
0.8,1 SI,2364
0.72,2 VS,2364
0.7,2 VS,2365
0.81,1 SI,2406
0.9,1 SI,2406
0.54,3 VVS,2406
0.63,3 VVS,2407
0.71,2 VS,2407
0.57,3 VVS,2407
0.71,2 VS,2407
0.91,1 SI,2407
0.53,4 F,2408
0.72,1 SI,2408
0.7,2 VS,2409
0.7,2 VS,2409
0.7,2 VS,2409
0.7,2 VS,2409
0.56,3 VVS,2409
0.56,3 VVS,2409
0.5,3 VVS,2409
0.71,1 SI,2409
0.6,4 F,2409
0.86,2 VS,2409
0.73,1 SI,2409
0.83,1 SI,2409
0.51,4 F,2410
0.51,4 F,2410
0.6,3 VVS,2410
0.7,2 VS,2458
0.7,2 VS,2458
0.7,1 SI,2458
0.73,1 SI,2458
0.93,2 VS,2458
0.79,1 SI,2459
0.56,4 F,2459
0.61,3 VVS,2459
0.61,3 VVS,2459
0.72,2 VS,2459
0.58,3 VVS,2459
0.58,4 F,2460
0.71,3 VVS,2460
0.71,4 F,2460
0.73,4 F,2460
0.71,1 SI,2460
0.7,2 VS,2461
0.7,2 VS,2461
0.72,1 SI,2462
0.78,1 SI,2462
0.78,1 SI,2462
0.7,1 SI,2463
0.67,3 VVS,2464
0.61,3 VVS,2464
0.61,3 VVS,2464
0.71,1 SI,2515
0.8,2 VS,2516
0.57,3 VVS,2516
0.57,3 VVS,2516
0.57,3 VVS,2516
0.72,1 SI,2516
0.7,3 VVS,2516
0.5,3 VVS,2516
0.9,2 VS,2517
0.52,2 VS,2517
0.72,2 VS,2517
0.7,1 SI,2518
0.7,1 SI,2518
0.7,1 SI,2518
0.7,1 SI,2518
0.7,2 VS,2518
0.71,1 SI,2519
0.71,1 SI,2519
0.9,1 SI,2520
0.9,1 SI,2520
0.7,2 VS,2520
0.72,2 VS,2520
0.72,3 VVS,2520
0.75,3 VVS,2520
0.9,1 SI,2520
0.8,2 VS,2575
0.78,1 SI,2576
0.79,1 SI,2576
0.8,1 SI,2576
0.75,2 VS,2576
0.71,1 SI,2577
0.71,1 SI,2577
0.71,1 SI,2577
0.71,1 SI,2577
0.74,1 SI,2579
0.74,1 SI,2579
0.7,2 VS,2579
0.7,2 VS,2579
0.7,2 VS,2580
0.8,1 SI,2580
0.62,3 VVS,2580
0.66,4 F,2580
0.74,1 SI,2580
0.71,1 SI,2580
0.77,1 SI,2581
0.8,1 SI,2581
0.51,4 F,2581
0.75,2 VS,2582
0.91,1 SI,2583
0.72,2 VS,2583
0.9,2 VS,2638
0.56,4 F,2639
0.7,2 VS,2639
0.71,4 F,2639
0.9,1 SI,2639
0.84,1 SI,2640
0.8,2 VS,2640
0.75,1 SI,2640
0.7,3 VVS,2641
0.58,3 VVS,2641
0.58,3 VVS,2641
0.7,2 VS,2642
0.7,2 VS,2642
0.6,3 VVS,2642
0.9,1 SI,2642
0.91,2 VS,2643
0.71,2 VS,2643
0.71,2 VS,2643
0.54,4 F,2643
0.78,2 VS,2644
0.7,2 VS,2645
0.75,1 SI,2645
0.75,1 SI,2645
0.6,3 VVS,2645
0.76,2 VS,2645
0.81,1 SI,2715
0.7,3 VVS,2715
0.74,3 VVS,2715
0.71,2 VS,2716
0.71,2 VS,2716
0.92,1 SI,2716
0.92,1 SI,2716
0.78,2 VS,2717
0.63,3 VVS,2717
0.72,2 VS,2717
0.57,4 F,2717
0.57,4 F,2717
0.83,1 SI,2718
0.82,2 VS,2718
0.58,3 VVS,2718
0.74,1 SI,2718
0.77,1 SI,2719
0.7,2 VS,2720
0.67,3 VVS,2720
0.86,1 SI,2720
0.86,1 SI,2720
0.94,2 VS,2720
0.63,3 VVS,2721
0.51,3 VVS,2721
0.74,2 VS,2721
0.86,3 VVS,2790
0.61,3 VVS,2791
0.61,3 VVS,2791
0.7,2 VS,2791
0.6,3 VVS,2792
0.72,2 VS,2792
0.71,3 VVS,2792
0.7,2 VS,2792
0.91,1 SI,2793
0.77,2 VS,2793
0.78,1 SI,2796
0.73,1 SI,2796
0.91,1 SI,2796
0.9,1 SI,2796
0.7,2 VS,2796
1.02,1 SI,2797
0.65,4 F,2797
0.9,1 SI,2797
0.72,2 VS,2797
0.73,1 SI,2798
0.62,3 VVS,2798
1.01,1 SI,2800
0.78,2 VS,2800
0.7,3 VVS,2800
0.74,2 VS,2801
0.8,2 VS,2869
1.01,2 VS,2870
0.72,2 VS,2870
0.72,2 VS,2870
0.8,2 VS,2871
0.9,2 VS,2871
0.7,3 VVS,2871
0.58,4 F,2871
1,1 SI,2872
0.72,3 VVS,2873
0.9,1 SI,2873
0.94,1 SI,2873
0.91,2 VS,2873
0.85,3 VVS,2873
0.91,1 SI,2874
0.7,3 VVS,2874
0.93,1 SI,2875
0.75,1 SI,2875
0.7,2 VS,2875
0.71,2 VS,2876
0.71,2 VS,2877
0.9,1 SI,2877
0.81,3 VVS,2877
0.8,1 SI,2878
0.9,1 SI,2878
